Sex	Name	Origin	Meaning	Source
M	Colville	French	Place name in France.	source1
M	Colville	Shakespearean	'King Henry IV, Part 2' Sir John Colville.	source1
M	Colvill	French	Variant of Colville: Place name in France.	source1
M	Colvyr	English	Dove.	source1
M	Colwin	Welsh	Variant of Colwyn: Name of a river in Wales.	source1
M	Colwyn	Welsh	Name of a river in Wales.	source1
M	Colyer	English	Charcoal merchant.	source1
M	Colyn	English	Variant of Colin: Of a triumphant people; young boy.	source1
M	Colyn	French	Abbreviation of Nicholas 'people's victory.'.	source1
M	Colys	English	Son of the dark man.	source1
M	Colywnn	Welsh	Variant of Colwyn: Name of a river in Wales.	source1
M	Coman	Arabic	Noble.	source1
M	Coman	Irish	Bent.	source1
M	Comdhan	Irish	Variant of Comhghan: Twin.	source1
M	Côme	Old Greek	 	source2
M	Comhghall	Irish	Hostage.	source1
M	Comhghan	Gaelic	Twin.	source1
M	Comhghan	Irish	Twin.	source1
M	Cominius	Shakespearean	'The Tragedy of Coriolanus.'  Titus Lartius, a  general against the Volscians.	source1
M	Comyn	Irish	Shrewd.	source1
M	Comyn	Scottish	From Comines.	source1
M	Conaire	Gaelic	Wise.	source1
M	Conaire	Irish	Wise or red.	source1
M	Conal	Celtic	High; mighty.	source1
M	Conal	Irish	High and mighty.	source1
M	Conall	Celtic	Strong in battle High; mighty.	source1
M	Conall Cernach	Celtic	Mythical Ulster chieftain.	source1
M	Conall	Irish	High and mighty.	source1
M	Conan	Celtic	High, wise. Introduced into Britain after the Norman Conquest. Famous bearers: Sir Arthur Conan Doyle, creator of the detective Sherlock Holmes; a number of counts and dukes of Brittany bore the name Conan.	source1
M	Conan	Celtic	maybe the great (?); hound	source2
M	Conan	Irish	Hound; elevated.  Famous bearer:  Talk show host Conan O'Brien.	source1
M	Conant	Celtic	Wise.	source1
M	Conant	Irish	Variant of Conan: Hound; elevated.  Famous bearer:  Talk show host Conan O'Brien.	source1
M	Conary	Irish	An ancient Irish name whos meaning is lost in antiquety.	source1
M	Con	Celtic	Wise.	source1
M	Concetto	Italian	Reference to the Immaculate Conception.	source1
M	Conchobar	Celtic	Mythical hero.	source1
M	Conchobhar	Irish	Strong dog; strong willed or wise.	source1
M	Concobhar	Irish	Variant of Conchobhar: Strong dog; strong willed or wise.	source1
M	Condan	Celtic	Dark haired wise man.	source1
M	Condon	Celtic	Dark haired wise man.	source1
M	Cong	Chinese	Intelligent.	source1
M	Coniah	Biblical	Strength of the Lord	source1
M	Con	Irish	Diminutive of Conlan: Hero.	source1
M	Conlan	Gaelic	Hero.	source1
M	Conlan	Irish	Hero.	source1
M	Conlen	Irish	Variant of Conlan: Hero.	source1
M	Conleth	Irish	Ardent or wise.	source1
M	Conley	Irish	Strong willed or wise.  Also a diminutive of Conlan: Hero.	source1
M	Conlin	Gaelic	Hero.	source1
M	Conlin	Irish	Variant of Conlan: Hero.	source1
M	Conlon	Irish	Variant of Conlan: Hero.	source1
M	Connacht	Irish	Brave or wise.	source1
M	Connal	Celtic	'High; mighty.'.	source1
M	Connal	Irish	High and mighty.	source1
M	Conn	Celtic	Mythical son of Lir: wise; High; mighty.	source1
M	Connell	Celtic	Strong in battle.	source1
M	Connell	Irish	Variant of Conall: High and mighty.	source1
M	Conner	Irish	Hound lover.  Variant of Connor: Full of desire; much desire.	source1
M	Conner	Old Irish	maybe dog lover	source2
M	Conn	German	Diminutive of Conrad: Brave adviser.	source1
M	Connie	German	Diminutive of Conrad: Brave adviser.	source1
M	Connie	Irish	Strong willed or wise.  Also a diminutive of Conlan: Hero.	source1
M	Conn	Irish	Wise; high and mighty.	source1
M	Connla	Celtic	Mythical son of Conn.	source1
M	Connlaio	Irish	Ardent or wise.	source1
M	Connlan	Gaelic	Hero.	source1
M	Connlaodh	Irish	Pure fire.	source1
M	Connlaoi	Irish	Variant of Connlaodh: Pure fire.	source1
M	Connlaoth	Irish	Variant of Connlaodh: Pure fire.	source1
M	Connlyn	Irish	Variant of Conlan: Hero.	source1
M	Connolly	Irish	Brave or wise.	source1
M	Connor	Irish	Strong willed or wise 'Hound-lover.' Also from the Irish 'Coachuhhar', meaning high desire. Famous bearers: In Irish mythology Connor was an early king of Ulster.; 20th century Irish diplomat Conor Cruise O'Brien.	source1
M	Connor	Old Irish	maybe dog lover	source2
M	Conny	German	Diminutive of Conrad: Brave adviser.	source1
M	Conny	Irish	Strong willed or wise.  Also a diminutive of Conlan: Hero.	source1
M	Conny	Old High German	Words: bold / counsel, advice, advisor	source2
M	Conor	Irish	Strong willed or wise 'Hound-lover.' Also from the Irish 'Coachuhhar', meaning high desire.	source1
M	Conor	Old Irish	maybe dog lover	source2
M	Conquhare	Irish	Variant of Conchobhar: Strong dog; strong willed or wise.	source1
M	Conrade	German	Variant of Conrad: Brave adviser.	source1
M	Conrade	Shakespearean	'Much Ado About Nothing' Follower of Don John.	source1
M	Conrad	German	Honest advisor Brave; wise.	source1
M	Conradin	German	Honest advisor.	source1
M	Conradin	Old High German	Words: bold / counsel, advice, advisor	source2
M	Conrado	German	Variant of Conrad: Brave adviser; honest advisor.	source1
M	Conrad	Old High German	Words: bold / counsel, advice, advisor	source2
M	Conrado	Old High German	Words: bold / counsel, advice, advisor	source2
M	Conrado	Spanish	Spanish form of Conrad 'able counsel'.	source1
M	Conrad	Slavic	Brave; wise.	source1
M	Conrad	Teutonic	Bo!d speech.	source1
M	Conradus	Old High German	Words: bold / counsel, advice, advisor	source2
M	Conroy	Celtic	Persistent.	source1
M	Conroy	Gaelic	Wise.	source1
M	Conroy	Irish	Wise or red.	source1
M	Consalvo	Old High German	Words: fight	source2
M	Constant	English	Variant of Constantine: Steady; stable.	source1
M	Constantine	English	Steady; stable.	source1
M	Constantine	Latin	Constant, steadfast, from the Latin 'constans' Famous bearers: several Roman and Byzantine emperors including Constantine the Great, the Christian emperor who made Christianity the official religion of the Roman Empire.	source1
M	Constantine	Latin	the steadfast	source2
M	Constantin	English	Variant of Constantine: Steady; stable.	source1
M	Constantin	Italian	Firm.	source1
M	Constantin	Latin	the steadfast	source2
M	Constantino	English	Variant of Constantine: Steady; stable.	source1
M	Constantino	Latin	Constant.	source1
M	Constantinos	English	Variant of Constantine: Steady; stable.	source1
M	Constantino	Spanish	Constant.	source1
M	Constantios	Latin	Constant.	source1
M	Constant	Latin	Variant of Constantine: Constant, steadfast, from the Latin 'constans'.	source1
M	Conway	Celtic	Hound of the plain.	source1
M	Conway	Gaelic	Hound of the plain.	source1
M	Conway	Irish	Hound of the plain.	source1
M	Conway	Welsh	Holy river.  Place-name and surname.	source1
M	Conwy	Welsh	Variant of Conway: Holy river.  Place-name and surname.	source1
M	Cony	English	Variant of Corey: Hill hollow.	source1
M	Cony	Irish	Variant of Corey 'Hill hollow.'.	source1
M	Conyn	Welsh	Legendary son of Caw 'wise'.	source1
M	Cooey	Irish	Hound of the plains.	source1
M	Cooke	English	Variant of Cook: Cook.	source1
M	Cook	English	Cook.	source1
M	Cooley	Irish	Hound of Ulster.	source1
M	Coolie	Irish	Hound of Ulster.	source1
M	Cooney	Irish	Handsome.	source1
M	Cooper	English	A barrel maker.	source1
M	Cooper	Old English	cooper, barrel maker	source2
M	Coopersmith	English	Barrel maker.	source1
M	Coos	Biblical	Top, summit.	source1
M	Coowescoowe	NativeAmerican	Cherokee name meaning egret.	source1
M	Corann	Celtic	Mythical druid.	source1
M	Corban	Latin	Words: raven	source2
M	Corben	English	Raven-haired.	source1
M	Corben	French	Raven-haired.	source1
M	Corbenic	ArthurianLegend	Where the grail was kept.	source1
M	Corbet	English	Black-haired.	source1
M	Corbett	English	Raven.  Variant of Corbet: Black-haired.	source1
M	Corbett	French	Raven.	source1
M	Corbin	English	Raven-haired.	source1
M	Corbin	French	Raven-haired.	source1
M	Corbinian	Old High German	Words: raven / raven	source2
M	Corbin	Latin	Raven.	source1
M	Corbin	Latin	Words: raven	source2
M	Corbit	English	Raven.  Variant of Corbet: Black-haired.	source1
M	Corbitt	English	Raven.  Variant of Corbet: Black-haired.	source1
M	Corbmac	Irish	Charioteer.	source1
M	Corby	English	Raven-haired.	source1
M	Corby	French	Raven-haired.	source1
M	Corbyn	English	Raven-haired.	source1
M	Corbyn	French	Raven-haired.	source1
M	Corcoran	Gaelic	Reddish skinned.	source1
M	Corcoran	Irish	Cork; reddish skin.  Surname.	source1
M	Corcurachan	Gaelic	Reddish skinned.	source1
M	Cordale	English	Variant of Cordell 'cordmaker.'.	source1
M	Corday	English	Variant of Cordell 'cordmaker.'.	source1
M	Cordell	English	A rope maker; cordmaker.	source1
M	Cordell	Old English	maker of cord, seller of cord	source2
M	Cord	English	Variant of Cordell 'cordmaker.'.	source1
M	Cordero	Spanish	Lamb.	source1
M	Cord	German	Honest advisor.	source1
M	Corentin	Celtic	Words: storm	source2
M	Corey	Anglo-Saxon	Chosen.	source1
M	Corey	English	Hill hollow.	source1
M	Corey	Gaelic	Ravine.	source1
M	Corey	Irish	From the round hill or hollow.'.	source1
M	Corey	Latin	Words: raven / ravine	source2
M	Corey	Scottish	Seething pool.	source1
M	Coridan	Greek	Ready to fight.	source1
M	Cori	Gaelic	Ravine.	source1
M	Cori	Irish	From the round hill.	source1
M	Corin	Irish	Spear bearer.  Also a variant of Corey: From the hollow.	source1
M	Corin	Latin	 	source2
M	Corin	Shakespearean	As You Like It' A shepherd.	source1
M	Corinth	Biblical	Which is satisfied, ornament, beauty.	source1
M	Coriolanus	Shakespearean	'The Tragedy of Coriolanus.'  Caius Marcius Coriolanus.	source1
M	Corky	English	Variant of Corey 'Hill hollow.'.	source1
M	Corky	Irish	Variant of Corey 'Hill hollow.'.	source1
M	Corlan	Irish	Spear-bearer.	source1
M	Corley	English	Variant of Corliss: Generous.  Variant of Corey 'Hill hollow.'.	source1
M	Corley	Irish	Variant of Corey 'Hill hollow.'.	source1
M	Corliss	English	Generous.	source1
M	Cormac	Celtic	Charioteer.	source1
M	Cormac	Gaelic	Charioteer. Famous bearer, a legendary third century Irish king.	source1
M	Cormac	Irish	Charioteer.	source1
M	Cormack	Gaelic	Charioteer.	source1
M	Cormack	Irish	Variant of Cormac 'raven's son.'.	source1
M	Cormac	Old Irish	son of the charioteer	source2
M	Cormag	Scottish	Raven.	source1
M	Cormic	Irish	Charioteer.	source1
M	Cormick	Gaelic	Charioteer.	source1
M	Cormick	Irish	Charioteer. Variant of Cormac 'raven's son.'.	source1
M	Cornal	English	Variant of Cornell: College; name of a town.	source1
M	Cornall	English	Variant of Cornell: College; name of a town.	source1
M	Corneille	Latin	Words: horn	source2
M	Cornel	English	Variant of Cornell: College; name of a town.	source1
M	Cornelio	Latin	Horn.	source1
M	Cornelio	Latin	Words: horn	source2
M	Cornelio	Spanish	Horn.	source1
M	Cornelious	Latin	Variant of Cornelius: Horn.	source1
M	Cornelis	Latin	Words: horn	source2
M	Cornelius	Biblical	Of a horn	source1
M	Cornelius	Irish	Strong willed or wise. Cornelius  is sometimes used as a translation of the name Conchubhar meaning High Desire.	source1
M	Cornelius	Latin	From a Roman clan name which is derived from the Latin 'cornu' meaning horn. Famous bearers - a devout centurion converted to Christianity by St Peter, a 3rd-century pope, American Cornelius Vanderbilt and a number of his descendants.	source1
M	Cornelius	Latin	Words: horn	source2
M	Cornelius	Shakespearean	'Cymbeline'   A physician. 'Hamlet, Prince of Denmark'    A courtier.	source1
M	Cornel	Latin	Variant of Cornelius 'horn; hornblower.'.	source1
M	Cornel	Latin	Words: horn	source2
M	Cornell	English	College; name of a town.	source1
M	Cornell	Latin	Variant of Cornelius 'horn; hornblower.'.	source1
M	Cornell	Latin	Words: horn	source2
M	Cornelus	Latin	Variant of Cornelius: Horn.	source1
M	Corney	Irish	Diminutive of Cornelius: Strong willed or wise. Cornelius  is sometimes used as a translation of the name Conchubhar meaning High Desire.	source1
M	Cornilius	Latin	Variant of Cornelius: Horn.	source1
M	Cornwallis	English	Man from Cornwall.	source1
M	Cornwall	Shakespearean	'Tragedy of King Lear' Duke of Cornwall.	source1
M	Corradeo	Italian	Sage counselor.	source1
M	Corrado	German	Bold.	source1
M	Corrado	Italian	Sage counselor.	source1
M	Corrado	Old High German	Words: bold / counsel, advice, advisor	source2
M	Corran	Irish	Spear-bearer.	source1
M	Corren	Irish	Spear-bearer.	source1
M	Correy	English	Variant of Corey 'Hill hollow.'.	source1
M	Correy	Irish	Variant of Corey 'Hill hollow.'.	source1
M	Corrick	English	Variant of Corey 'Hill hollow.'.	source1
M	Corrick	Irish	Variant of Corey 'Hill hollow.'.	source1
M	Corrin	Irish	Spear-bearer.	source1
M	Corsin	Unknown	 	source2
M	Cort	English	Courtier; court attendant.	source1
M	Cortez	Old French	courtly, courteous	source2
M	Cortez	Spanish	Courteous. Variant of Curtis. The Spanish explorer and adventurer Cortez conquered the Aztec civilization of Mexico with only a small expeditionary force.	source1
M	Cort	French	Courtier, court attendant.	source1
M	Cort	German	Courageous; honest advisor.	source1
M	Cortie	Norse	Short.	source1
M	Cortland	English	Courtier; court attendant.	source1
M	Cortland	French	Courtier, court attendant.	source1
M	Cortlandt	English	Variant of Courtland: Farm land.	source1
M	Cortney	English	Variant of Courtney: Lives in the court.	source1
M	Cortney	Old French	Words: short / nose	source2
M	Cort	Norse	Short.	source1
M	Cort	Teutonic	Bo!d speech.	source1
M	Corvin	English	Raven-haired.	source1
M	Corvin	French	Raven-haired.	source1
M	Corvin	Latin	Words: raven	source2
M	Corwan	English	Friend of the heart.	source1
M	Corwine	English	Friend of the heart.	source1
M	Corwin	English	Friend of the heart.	source1
M	Corwin	Gaelic	From beyond the hill.	source1
M	Corwyn	English	Friend of the heart.	source1
M	Corwyn	Gaelic	From beyond the hill.	source1
M	Corwynn	English	Variant of Corwin: Heart's friend.	source1
M	Corybantes	Greek	Priest of Rhea.	source1
M	Corydon	English	Ready for battle/war.	source1
M	Corydon	Greek	Ready to fight.	source1
M	Coryell	English	Wears a helmet.	source1
M	Cory	English	Hill; hollow.	source1
M	Cory	Irish	From the round hill.	source1
M	Cory	Latin	Words: raven / ravine	source2
M	Cory	Scottish	Seething pool.	source1
M	Cosam	Biblical	Divining.	source1
M	Cosgrave	Irish	Variant of Cosgrove: Triumphant.	source1
M	Cos	Greek	Order.	source1
M	Cosgrove	Irish	Triumphant.	source1
M	Cosima	Greek	Order.	source1
M	Cosimo	Greek	Variant of Cosmo: From 'kosmos' meaning order.	source1
M	Cosimo	Italian	The Italion form of the Greek Cosmo, meaning order. Famous bearers - several members of the Medici family including three grand dukes of Tuscany.	source1
M	Cosimo	Old Greek	 	source2
M	Cosmas	Greek	Order.	source1
M	Cosme	Greek	Variant of Cosmo: From 'kosmos' meaning order.	source1
M	Cosmin	Old Greek	 	source2
M	Cosmo	Greek	From 'kosmos' meaning order. St Cosmas, patron saint of physicians, and his twin brother St Damian were martyred in the early 4th century.	source1
M	Cosmo	Old Greek	 	source2
M	Costa	English	Diminutive of Constantine: Steady; stable.	source1
M	Costa	Greek	Steady; stable.	source1
M	Costante	Latin	the steadfast	source2
M	Costantino	Latin	the steadfast	source2
M	Costanzo	Latin	the steadfast	source2
M	Costard	Shakespearean	'Love's Labours Lost' A clown.	source1
M	Costello	Irish	Surname.	source1
M	Cottus	Greek	A Titan.	source1
M	Coty	English	Variant of Cody: Cushion; helpful.	source1
M	Coty	French	Small hill.	source1
M	Coty	Gaelic	Ravine.	source1
M	Coty	Old French	coast, river bank	source2
M	Coughlan	Irish	Hooded.	source1
M	Coulson	English	Triumphant people.	source1
M	Coulter	English	Variant of Colt: young horse;frisky.	source1
M	Courtenay	English	Courtier; court attendant.	source1
M	Courtenay	French	From the court, or short nose. From the surname of the aristocratic Courtenay family, based on the Old French word meaning short nose.	source1
M	Court	English	Courtier; court attendant.	source1
M	Court	French	Courtier, court attendant.	source1
M	Courtland	Anglo-Saxon	Dweller by the dark stream.	source1
M	Courtland	English	Lives at the farmstead.	source1
M	Courtland	French	Courtier, court attendant.	source1
M	Courtlandt	English	Variant of Courtland: Farm land.	source1
M	Courtnay	Anglo-Saxon	Dweller by the dark stream.	source1
M	Courtnay	English	Variant of Courtney: Lives in the court.	source1
M	Courtnay	French	From the court.	source1
M	Courtney	Anglo-Saxon	Dweller by the dark stream.	source1
M	Courtney	English	Courtier; court attendant.	source1
M	Courtney	French	From the court, or short nose. From the surname of the aristocratic Courtenay family, based on the Old French word meaning short nose.	source1
M	Courtney	Old French	Words: short / nose	source2
M	Court	Shakespearean	'King Henry V' Soldier in the King's army.	source1
M	Covell	English	Lives at the cave slope.	source1
M	Covey	Irish	Hound of the plains.	source1
M	Covyll	English	Lives at the cave slope.	source1
M	Cowan	Gaelic	Dwells by the hillside hollow.	source1
M	Cowan	Irish	Valley in a hill; twin.	source1
M	Cowen	Irish	Twin.	source1
M	Cowin	Latin	Raven.	source1
M	Cowyn	Irish	Twin.	source1
M	Coyan	French	Modest.	source1
M	Coy	English	Forest.	source1
M	Coyle	Gaelic	Searches for battle.	source1
M	Coyle	Irish	Soldier; leader in battle.	source1
M	Coyne	French	Modest.	source1
M	Coy	Unknown	 	source2
M	Coz	Biblical	A thorn.	source1
M	Cradawg	Celtic	Mythical son of Bran.	source1
M	Craddock	Welsh	Affection; beloved.	source1
M	Cradoe	Welsh	Beloved.	source1
M	Craig	Gaelic	Dwells at the Crag.	source1
M	Craig	Old Irish	Words: rock	source2
M	Craig	Scottish	Dwells at the crag. From the Celtic word meaning rock or crag.	source1
M	Craig	Welsh	Rock.	source1
M	Crandal	English	Variant of Crandall: Crane valley.	source1
M	Crandall	English	From the crane valley.	source1
M	Crandell	English	From the crane valley.	source1
M	Cranleah	English	From the crane meadow.	source1
M	Cranleigh	English	Variant of Cranley: Crane meadow.	source1
M	Cranley	English	From the crane meadow.	source1
M	Cranly	English	From the crane meadow.	source1
M	Cranmer	Shakespearean	'King Henry the Eighth' Archbishop of Canterbury	source1
M	Crannog	Scottish	Lake dweller.	source1
M	Cranston	English	From the crane estate.	source1
M	Cranstun	English	From the crane estate.	source1
M	Crawford	English	From the crow's ford.	source1
M	Crayton	English	Variant of Creighton: Rocky town.	source1
M	Crayton	Scottish	Border dweller.	source1
M	Creag	Gaelic	Dwells at the Crag.	source1
M	Creed	English	Belief; guiding principle.	source1
M	Creed	Latin	Belief; guiding principle.	source1
M	Creed	Latin	creed, belief	source2
M	Creedon	Irish	A surname meaning 'Belief; guiding principle.'.	source1
M	Creighton	English	Lives at the creek town.	source1
M	Creighton	Scottish	From the farm by the creek.	source1
M	Creketun	English	Lives at the creek town.	source1
M	Creon	Greek	Prince.  Jocasta's brother.	source1
M	Crepin	Latin	Variant of Crispin: Curly-haired.	source1
M	Crescens	Biblical	Growing, increasing.	source1
M	Crescenzio	Latin	the growing	source2
M	Crespin	English	Curly-haired. The 3rd century martyr St. Crispin is known as patron of shoemakers.	source1
M	Crespin	Latin	Curly-haired. The 3rd century martyr St. Crispin is known as patron of shoemakers.	source1
M	Cresswell	English	Watercress river.	source1
M	Creswell	English	Variant of Cresswell: Watercress river.	source1
M	Crete	Biblical	Carnal, fleshly.	source1
M	Cretien	French	Christian.	source1
M	Cretien	Greek	Christian.	source1
M	Crevan	Irish	Fox.	source1
M	Crew	Welsh	Words: castle, fortress	source2
M	Crichton	English	From the town by the creek.	source1
M	Criostoir	Gaelic	Christ bearer.	source1
M	Crisanto	Old Greek	golden Flower; chrysanthemum	source2
M	Crisdean	Gaelic	Christ bearer.	source1
M	Crisdean	Scottish	Follower of Christ; Christ.	source1
M	Cris	English	Diminutive of Christopher: He who holds Christ in his heart.  Diminutive of Christian: Follower of Christ.	source1
M	Crispen	Latin	Variant of Crispin: Curly-haired.	source1
M	Crispian	Latin	Variant of Crispin: Curly-haired.	source1
M	Crispin	English	Curly-haired. The 3rd century martyr St. Crispin is known as patron of shoemakers.	source1
M	Crispin	Latin	curly haired	source2
M	Crispin	Latin	From the Roman family name Crispinus, based on the Latin 'crispus' meaning curled or curly-haired. Famous bearers: St Crispin and St Crispinian are patron saints of shoemakers believed to have been martyred in the 3rd century.	source1
M	Crispino	Latin	curly haired	source2
M	Crispino	Latin	Variant of Crispin: Curly-haired.	source1
M	Crispo	Latin	Variant of Crispin: Curly-haired.	source1
M	Crispus	Biblical	Curled.	source1
M	Crispus	Latin	Variant of Crispin: Curly-haired.	source1
M	Cris	Spanish	Variant abbreviation of Christopher and Christian.	source1
M	Cristian	Latin	Christian, disciple of Christ	source2
M	Cristián	Latin	Christian, disciple of Christ	source2
M	Cristiano	Latin	Christian, disciple of Christ	source2
M	Cristiano	Latin	Christian.	source1
M	Cristiano	Spanish	Christian.	source1
M	Cristian	Spanish	Follower of Christ; the Annointed.	source1
M	Cristobal	English	Variant of Christopher: He who holds Christ in his heart.  Famous Bearers:  actors Christopher Plummer and Christopher Walken; explorer Christopher Columbus.	source1
M	Cristobal	Old Greek	carrying Christ	source2
M	Cristóbal	Old Greek	carrying Christ	source2
M	Cristobal	Spanish	Spanish form of Christopher 'Christ bearer'.	source1
M	Cristofer	Old Greek	carrying Christ	source2
M	Cristofer	Spanish	With Christ inside.	source1
M	Cristoforo	English	Variant of Christopher: He who holds Christ in his heart.  Famous Bearers:  actors Christopher Plummer and Christopher Walken; explorer Christopher Columbus.	source1
M	Cristoforo	Greek	Christ bearer.	source1
M	Cristoforo	Italian	Italian form of Christopher 'Christ bearer'.	source1
M	Cristoforo	Old Greek	carrying Christ	source2
M	Cristofor	Spanish	With Christ inside.	source1
M	Criston	Spanish	Follower of Christ; the Annointed.	source1
M	Cristophe	Greek	Christ bearer.	source1
M	Cristopher	Old Greek	carrying Christ	source2
M	Cristos	Spanish	Follower of Christ; the Annointed.	source1
M	Cristoval	Spanish	With Christ inside.	source1
M	Cristovão	Old Greek	carrying Christ	source2
M	Crist	Welsh	Christian.	source1
M	Croften	English	From the enclosed town.	source1
M	Crofton	English	Cottage town; from the enclosed town.	source1
M	Crogher	Irish	Loves hounds.	source1
M	Crohoore	Irish	Loves hounds.	source1
M	Crombwiella	English	Lives by the winding stream.	source1
M	Crompton	English	From the winding farm.	source1
M	Crom	Scottish	Crooked.	source1
M	Cromwell	English	Lives by the winding stream.	source1
M	Cromwell	Scottish	From the crooked well.	source1
M	Cromwell	Shakespearean	'King Henry the Eighth' Servant to Wolsey.	source1
M	Cronan	Gaelic	Dark brown.	source1
M	Cronan	Irish	Little dark one.	source1
M	Cronus	Greek	A Titan.	source1
M	Crosbey	English	Variant of Crosby: By the cross.	source1
M	Crosbie	English	Variant of Crosby: By the cross.	source1
M	Crosby	English	By the cross.	source1
M	Crosby	Norse	Dwells at the shrine of the cross.	source1
M	Crosby	Old Norse	settlement by the cross	source2
M	Crosby	Teutonic	Dwells by the town.	source1
M	Crosland	English	Literally 'cross land'.	source1
M	Croslea	English	Variant of Crosley: Meadow with a cross.	source1
M	Crosleah	English	From the cross meadow.	source1
M	Crosleigh	English	From the cross meadow.	source1
M	Crosley	English	From the cross meadow.	source1
M	Crosly	English	From the cross meadow.	source1
M	Crossland	English	Variant of Crosland: Literally 'cross land'.	source1
M	Crossley	English	Variant of Crosley: Meadow with a cross.	source1
M	Crow Hreidar	Norse	Son of Ofeig Dangle Beard.	source1
M	Crowley	Irish	Hunch backed.	source1
M	Crowther	English	Fiddle player.	source1
M	Croydon	English	Surname and place-name.	source1
M	Cruadhlaoich	Irish	Hunch backed.	source1
M	Cruim	Scottish	Crooked.	source1
M	Cruz	Portuguese	Cross.	source1
M	Cruz	Spanish	Cross.	source1
M	Cruz	Spanish	cross	source2
M	Crystal	Scottish	Diminutive of Christopher.	source1
M	Csaba	Unknown	 	source2
M	Csanád	Unknown	 	source2
M	Csongor	Unknown	 	source2
M	Ctesippus	Greek	One of Penelope's suitors.	source1
M	Ctibor	Czech	An honourable fight.	source1
M	Ctik	Czech	Variant of Ctibor: An honourable fight.	source1
M	Ctislav	Czech	Variant of Ceslav: Glorious honour.	source1
M	Cuanaic	Irish	Handsome.	source1
M	Cuartio	Spanish	Born fourth.	source1
M	Cuarto	Spanish	Born fourth.	source1
M	Cubert	Welsh	Legendary son of Daere.	source1
M	Cuchulain	Celtic	Mythical Hound of Ulster.	source1
M	Cuddle	Scottish	This diminutive of Cuthbert may have given rise to the Scottish dialect word 'cuddy', meaning donkey.	source1
M	Cuddy	Scottish	This diminutive of Cuthbert may have given rise to the Scottish dialect word 'cuddy', meaning donkey.	source1
M	Cuilean	Gaelic	Cub.	source1
M	Cuilean	Irish	Variant of Coilean: Puppy.	source1
M	Cuinn	Celtic	Wise.	source1
M	Cuinn	Gaelic	Wise.	source1
M	Cuinn	Irish	Wise; intelligent.	source1
M	Cuinn	Old Irish	 	source2
M	Cuithbeart	English	Variant of Cuthbert: Famous.	source1
M	Cuithbrig	English	Variant of Cuthbert: Famous.	source1
M	Culain	Celtic	Mythical smith.	source1
M	Culann	Celtic	Mythical smith.	source1
M	Culbart	English	Seaman.	source1
M	Culbert	English	Seaman.	source1
M	Culbert	Teutonic	Cool and inteIligent.	source1
M	Culhwch	ArthurianLegend	Arthur's nephew.	source1
M	Culhwch	Welsh	Legendary son of K;Iydd.	source1
M	Cullan	Gaelic	Handsome.	source1
M	Cullan	Irish	Good-looking lad.  Also a variant of Cullent: Holly.	source1
M	Cullen	Celtic	Cub.	source1
M	Cullen	Gaelic	Handsome; good-looking lad.	source1
M	Cullen	Irish	Good-looking lad. Surname.	source1
M	Cullent	Irish	Holly.	source1
M	Cullen	Unknown	 	source2
M	Culley	English	Diminutive of Culver: Dove.	source1
M	Culley	Gaelic	Dwells at the woodland.	source1
M	Cullin	Gaelic	Variant of Cullen: Handsome; good-looking lad.	source1
M	Cullin	Irish	Good-looking lad.  Also a variant of Cullent: Holly.	source1
M	Culloden	Scottish	From the nook of the marsh.	source1
M	Cullo	Irish	Hound of Ulster.	source1
M	Cully	English	Diminutive of Culver: Dove.	source1
M	Cully	Gaelic	Handsome or dwells at the woodland.	source1
M	Cully	Irish	Diminutive of Cullent: Holly.	source1
M	Culvanawd	Welsh	Legendary son of GwIyon.	source1
M	Culver	English	Dove.	source1
M	Cumhaige	Scottish	Dog/hound of the plain.	source1
M	Cumhea	Irish	Hound of the plains.	source1
M	Cumin	Scottish	From Comines.	source1
M	Cumming	Scottish	From Comines.	source1
M	Cunningham	Gaelic	Village that has a milk pail.	source1
M	Cunningham	Scottish	From Cunningham.	source1
M	Cupere	English	Barrel maker.	source1
M	Cupid	Shakespearean	'The Life of Timon of Athens'	source1
M	Curadhan	Gaelic	Hero.	source1
M	Curan	Shakespearean	'Tragedy of King Lear' A courtier.	source1
M	Curcio	French	Courteous.	source1
M	Curcio	Spanish	Friendly; polite.	source1
M	Curdin	Rhaeto-Romanic	 	source2
M	Curd	Old High German	Words: bold / counsel, advice, advisor	source2
M	Curio	Shakespearean	'Twelfth Night', also called 'What You Will' Gentleman attending on the Duke.	source1
M	Curney	Gaelic	Hero.	source1
M	Curran	Gaelic	Hero; Dagger.	source1
M	Curran	Irish	Hero.	source1
M	Curr	Gaelic	Hero.	source1
M	Currie	Gaelic	Dagger.	source1
M	Currito	Spanish	Free.	source1
M	Curro	Spanish	Frenchman; free.	source1
M	Curry	Gaelic	Dagger.	source1
M	Curt	English	A diminutive of Curtis, meaning courteous, or an alternative spelling of Kurt or Cort.	source1
M	Curt	French	Diminutive of Curtis: From a surname derived from the Old French 'curteis' meaning courteous. Also, from the court.	source1
M	Curt	German	Variant of Conrad.	source1
M	Curtice	French	Courteous.	source1
M	Curtis	English	Polite; courteous.	source1
M	Curtis	French	From a surname derived from the Old French 'curteis' meaning courteous..	source1
M	Curtis	Old French	courtly, courteous	source2
M	Curtiss	English	Courteous. See also Curt.	source1
M	Curtiss	French	Courteous. See also Curt.	source1
